processors,nodes,total_time,comm_time,comp_time,comm_percent,speedup,efficiency
12,1,38.1270,2.9380,35.1890,7.71,1.00,100.00
24,2,19.8990,1.4780,18.4210,7.43,1.92,95.80
48,4,12.2150,1.8130,10.4020,14.84,3.12,78.03
96,8,8.6170,2.4620,6.1550,28.57,4.42,55.31
