processors,nodes,total_time,comm_time,comp_time,comm_percent,efficiency
12,1,1.9470,0.0460,1.9010,2.36,100.00
24,2,2.5200,0.1400,2.3800,5.56,77.26
48,4,3.5340,0.3280,3.2060,9.28,55.09
96,8,5.4160,0.6260,4.7900,11.56,35.95
